TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Rebounding_Percent,Offensive Rebounding_percent,Turnovers_Per_Possession,Opponent_Turnovers_Per_Possession,Opponent_Fouls_Per_Possession,Extra_Scoring_Chances_Per_Game,Effective_Possession_Ratio,Opponent_Effective_Possession_Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart Pioneers,30,72.7,26.9,60.4,44.5,8.1,23.5,34.3,10.8,14.9,72.5,11.2,25,36.2,14.5,5.5,2.2,13.9,15.6,49.80%,28.60%,19.20%,15.40%,22.90%,-3.3,0.937,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph's Hawks,30,67.6,24.9,59.1,42.1,8.9,26.6,33.6,8.9,13.6,65.4,9.7,27.9,37.6,13.5,4.9,2.5,13.5,16.1,51.70%,23.80%,19.20%,13.40%,19.40%,-4.3,0.917,0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Louis Billikens,34,76.4,27.4,59.7,46,6.8,18.3,37.1,14.7,19.3,76.3,11.9,26.7,38.6,14.8,6.5,3.2,12.9,18.1,54.00%,31.50%,18.30%,17.70%,23.90%,1.1,0.953,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,32,69.8,26.2,56.4,46.3,7.2,20.4,35,10.3,13.5,76.2,8.6,25.2,33.8,13.4,7,2.6,11.3,15.6,53.10%,24.70%,16.70%,19.10%,21.90%,2.7,0.937,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter's,30,66.9,23.6,54.7,43.1,5.9,16.6,35.3,13.9,20.3,68.3,11,25.2,36.2,12.2,7.3,4.9,13.9,19.5,51.80%,28.90%,20.20%,20.30%,26.30%,1.5,0.929,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston Bearkats,33,68.8,25.6,60.1,42.6,8.7,25.4,34.3,8.9,14.7,60.5,11.8,25.6,37.4,14.1,7.6,2.5,12.6,18,50.80%,29.40%,18.10%,20.30%,23.50%,4.3,0.967,0.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford Bulldogs,32,74.7,26.8,60.1,44.5,8.8,26.2,33.6,12.4,17,73,10.6,25,35.6,12.8,7.5,2.9,13.8,17.6,50.80%,29.20%,18.90%,17.50%,23.10%,-0.6,0.938,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego State,31,65.3,23.7,54.7,43.3,6,16.9,35.8,11.9,17.1,69.5,9.8,25.3,35.1,11.9,7.5,4.7,12.7,17.4,51.80%,27.20%,18.80%,21.20%,25.20%,2,0.933,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego Toreros,31,65.8,24.8,58,42.8,5.5,16.4,33.5,10.7,14.9,71.5,9.6,26.3,35.9,9.9,5.1,3.7,12.5,15.9,49.80%,24.10%,18.20%,15.70%,23.40%,-2,0.931,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,33,77.1,27.6,60.5,45.7,9.6,27.2,35.4,12.2,17.5,69.6,10.8,27.2,38,13.1,7.7,4.6,12.9,17.9,53.30%,28.70%,17.80%,18.10%,23.80%,2.5,0.952,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San José State Spartans,31,64.3,23.7,55.4,42.7,8.8,25,35.2,8.1,12.4,65.8,7.6,23.5,31.1,13,5.2,3.2,13.2,16.4,45.30%,20.90%,19.70%,15.50%,21.50%,-4.6,0.902,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Broncos,32,78.1,29.1,59.4,49,7.3,18.9,38.8,12.5,16.4,76.2,7.6,27.7,35.3,15.2,6.1,3.7,11.5,15,50.40%,21.50%,15.80%,16.40%,22.60%,-1.9,0.929,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Louisiana Lions,33,79.1,26.9,58.3,46.2,8.9,24.9,35.9,16.4,21.6,75.7,9.1,23.7,32.8,15.4,7.9,3.9,14.2,16.1,46.10%,24.50%,19.60%,19.50%,26.10%,-2.5,0.91,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle U Redhawks,32,74.8,25.9,62.2,41.7,9.7,28.4,34,13.3,17.4,76.6,10,27.6,37.6,13.6,6.9,3.6,11.6,20.6,49.60%,23.90%,16.00%,20.10%,24.60%,3.5,0.955,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Hall,31,72.9,25.6,60.4,42.3,7.4,21.6,34,14.4,19,75.7,12.2,26.7,38.9,10.4,7,5.5,12,15.6,51.80%,31.30%,17.10%,18.10%,23.00%,2.1,0.98,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena Saints,29,66.3,23.8,55.9,42.6,6.8,19,35.6,11.9,16.2,73.3,8.3,24.7,32.9,10,6.2,4,12.6,16,48.20%,22.00%,18.10%,17.00%,22.70%,-2.5,0.918,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIU Edwardsville Cougars,32,67.5,24.1,57.8,41.8,5.9,20.2,29.1,13.4,19.4,69.1,13,25.5,38.5,12.3,7.1,3.8,15.1,18.3,50.40%,29.80%,21.20%,18.70%,24.90%,-1.2,0.921,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU Mustangs,31,74.4,25.2,56.8,44.4,8.8,24.2,36.3,15.1,20.4,74.2,9.5,28.1,37.6,14,6.3,4.4,12.3,15.3,50.50%,25.40%,17.20%,16.70%,24.80%,-2.6,0.939,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama Jaguars,30,71.4,25.9,56.6,45.8,6.7,19.9,33.6,12.8,18.2,70.3,9.7,24.8,34.5,11.5,6.9,4.9,12.6,16.7,48.50%,24.80%,19.00%,20.30%,24.40%,-1.1,0.918,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
