,Game,Win Percentage of Asterisk Team
153,alabama-birmingham v providence,0.3874155027209687
154,alabama-birmingham v creighton,0.5044630374696284
155,alabama-birmingham v notre-dame,0.42471850483062745
156,alabama-birmingham v indiana,0.4137605637670258
157,alabama-birmingham v ohio-state,0.3806455393875804
158,alabama-birmingham v san-diego-state,0.5001587213364151
159,alabama-birmingham v michigan,0.38545219607432213
160,alabama-birmingham v miami-fl,0.4989609236616496
161,alabama-birmingham v colorado-state,0.46643392714367404
162,alabama-birmingham v boise-state,0.489211879206112
163,alabama-birmingham v southern-california,0.4613619456059615
164,alabama-birmingham v richmond,0.5874090556671991
165,alabama-birmingham v texas-christian,0.49978400241027265
166,alabama-birmingham v murray-state,0.5868569963799388
167,alabama-birmingham v yale,0.7374100716672365
168,alabama-birmingham v davidson,0.5809740351648793
169,alabama-birmingham v texas,0.40071261068185804
170,alabama-birmingham v wright-state,0.5716259885090345
171,alabama-birmingham v iowa-state,0.667195033069543
172,alabama-birmingham v colgate,0.6281318872886352
173,alabama-birmingham v chattanooga,0.697173349508472
174,alabama-birmingham v new-mexico-state,0.7962717891287623
175,alabama-birmingham v vermont,0.6475019468740928
176,alabama-birmingham v texas-southern,0.8725056801054081
177,alabama-birmingham v delaware,0.8275104614110012
178,alabama-birmingham v saint-peters,0.8804678676923114
179,alabama-birmingham v south-dakota-state,0.7033264395005997
180,alabama-birmingham v georgia-state,0.9223215264240743
181,alabama-birmingham v cal-state-fullerton,0.8923385301411705
182,alabama-birmingham v montana-state,0.8376856879220129
183,alabama-birmingham v jacksonville-state,0.8904940172603418
184,alabama-birmingham v norfolk-state,0.9527764908503795
185,alabama-birmingham v longwood,0.9019194123582628
186,arizona v tennessee,0.44188094040770776
187,arizona v auburn,0.4881047834015595
188,arizona v kansas,0.458482471652119
189,arizona v gonzaga,0.5225908299418549
190,arizona v ucla,0.48561125233362157
191,arizona v villanova,0.4643518857207726
192,arizona v memphis,0.5795233247315533
193,arizona v baylor,0.5429166134491109
194,arizona v wisconsin,0.5741840035377984
195,arizona v illinois,0.5664736648023342
196,arizona v michigan-state,0.5604464744925985
197,arizona v north-carolina,0.5725462093139986
198,arizona v marquette,0.6112254254904588
199,arizona v kentucky,0.5678689099240332
200,arizona v san-francisco,0.6460692481649426
201,arizona v louisiana-state,0.653916827650057
202,arizona v saint-marys-ca,0.6346346888508887
203,arizona v houston,0.6302325628860009
204,arizona v loyola-il,0.6640831104527878
205,arizona v arkansas,0.6707775329186134
206,arizona v seton-hall,0.6625593611444467
207,arizona v michigan,0.6171953914744814
208,arizona v duke,0.6539239395440894
209,arizona v notre-dame,0.7181247076548744
210,arizona v creighton,0.7269548632870829
211,arizona v ohio-state,0.6898132719521999
212,arizona v iowa,0.6647196434586211
213,arizona v san-diego-state,0.7259355572657824
214,arizona v providence,0.7392498321492059
215,arizona v miami-fl,0.7636725746306181
216,arizona v richmond,0.7909115348341391
217,arizona v virginia-tech,0.6939496053619056
218,arizona v purdue,0.7063615175578531
219,arizona v boise-state,0.7838220868472517
220,arizona v connecticut,0.6960278390341497
221,arizona v yale,0.8471518320036396
222,arizona v texas-tech,0.702348619239947
223,arizona v wright-state,0.8075421857280785
224,arizona v indiana,0.751447062296787
225,arizona v colorado-state,0.8238602652463315
226,arizona v murray-state,0.8760575388956603
227,arizona v southern-california,0.8300749829764362
228,arizona v new-mexico-state,0.8970875621977565
229,arizona v texas-christian,0.8012383034633694
230,arizona v colgate,0.8883236941109511
231,arizona v chattanooga,0.8991661343643892
232,arizona v texas-southern,0.9175212146375364
233,arizona v davidson,0.903523955481303
234,arizona v georgia-state,0.9384806514919479
235,arizona v saint-peters,0.9348290653314992
236,arizona v iowa-state,0.8732788995447427
237,arizona v delaware,0.942820272848587
238,arizona v texas,0.7805426057612427
239,arizona v south-dakota-state,0.91367913757247
240,arizona v vermont,0.9460773210921938
241,arizona v cal-state-fullerton,0.9667334675767187
242,arizona v montana-state,0.9575548573222032
243,arizona v jacksonville-state,0.9749558206040463
244,arizona v norfolk-state,0.9907358086578427
245,arizona v longwood,0.9931284568288112
246,arkansas v gonzaga,0.31191441580849927
247,arkansas v ucla,0.3235313978944159
248,arkansas v tennessee,0.31323140832078467
249,arkansas v villanova,0.31107144552849897
250,arkansas v auburn,0.36341257395972126
251,arkansas v kansas,0.345550217677553
252,arkansas v baylor,0.3502655130297575
253,arkansas v houston,0.3754588250039677
254,arkansas v kentucky,0.36114130892191065
255,arkansas v loyola-il,0.4517958897402923
256,arkansas v wisconsin,0.4266127397141527
257,arkansas v illinois,0.42141420590427375
258,arkansas v saint-marys-ca,0.44234917572036925
259,arkansas v duke,0.4332184702094585
260,arkansas v memphis,0.46603987259954127
261,arkansas v san-francisco,0.5040068867330212
262,arkansas v louisiana-state,0.500668534938326
263,arkansas v michigan-state,0.45493364020993676
264,arkansas v north-carolina,0.4651918895988553
265,arkansas v seton-hall,0.5174929777437475
266,arkansas v providence,0.5520145572049189
267,arkansas v iowa,0.47623300794683165
268,arkansas v connecticut,0.45580722043761
269,arkansas v marquette,0.525938766458427
270,arkansas v virginia-tech,0.4821863290181867
271,arkansas v san-diego-state,0.5475950774157563
272,arkansas v notre-dame,0.5717179252305562
273,arkansas v texas-tech,0.47112740698374755
274,arkansas v creighton,0.5780782911388843
275,arkansas v purdue,0.5077522593426813
276,arkansas v boise-state,0.5938527193966214
277,arkansas v michigan,0.5207713299029244
278,arkansas v ohio-state,0.5534451776128784
279,arkansas v murray-state,0.7022781226988573
280,arkansas v colorado-state,0.6408801025882822
281,arkansas v richmond,0.6699721243538079
282,arkansas v miami-fl,0.6471308184600801
283,arkansas v southern-california,0.6243106527393583
284,arkansas v indiana,0.5645405716536999
285,arkansas v wright-state,0.5947138715563092
286,arkansas v yale,0.726008263152655
287,arkansas v davidson,0.7455752028912199
288,arkansas v texas-christian,0.6289335270172611
289,arkansas v new-mexico-state,0.7964088588622935
290,arkansas v colgate,0.7010208086636245
291,arkansas v texas,0.5729631086031169
292,arkansas v chattanooga,0.7843991275076624
293,arkansas v texas-southern,0.8133759485999962
294,arkansas v vermont,0.7781841576457832
295,arkansas v saint-peters,0.8323182629348553
296,arkansas v iowa-state,0.7238227459733626
297,arkansas v georgia-state,0.8729370946031367
298,arkansas v delaware,0.8475858905355783
299,arkansas v cal-state-fullerton,0.8795899998904013
300,arkansas v south-dakota-state,0.8201149009731808
301,arkansas v montana-state,0.8535417237568679
302,arkansas v jacksonville-state,0.9059955453027024
303,arkansas v norfolk-state,0.9383573895928327
304,arkansas v longwood,0.9380552646059336
305,auburn v villanova,0.3960374540499619
306,auburn v tennessee,0.42717348173201936
307,auburn v ucla,0.4387187298232408
308,auburn v kansas,0.4699754589777756
309,auburn v gonzaga,0.5308935693739917
310,auburn v wisconsin,0.5227265521372095
311,auburn v illinois,0.5226550123673674
312,auburn v saint-marys-ca,0.5277130869477974
313,auburn v michigan-state,0.538360545039827
314,auburn v baylor,0.50546832645019
315,auburn v houston,0.5189654870398375
316,auburn v loyola-il,0.5660324255301583
317,auburn v memphis,0.589786885684172
318,auburn v san-francisco,0.6046010953768441
319,auburn v north-carolina,0.5804089224156874
320,auburn v michigan,0.56620536989516
321,auburn v marquette,0.6166602081261855
322,auburn v kentucky,0.5337216205284039
323,auburn v louisiana-state,0.6074405924268277
324,auburn v seton-hall,0.606488930236317
325,auburn v ohio-state,0.6037987913476552
326,auburn v notre-dame,0.6545185914188903
327,auburn v san-diego-state,0.6333539792211325
328,auburn v providence,0.6484469673100224
329,auburn v creighton,0.6514691334230336
330,auburn v duke,0.6085575455320602
331,auburn v miami-fl,0.7074334948292043
332,auburn v virginia-tech,0.5981453877026389
333,auburn v richmond,0.7357688315104614
334,auburn v boise-state,0.67618328620692
335,auburn v iowa,0.6351717480598174
336,auburn v purdue,0.6219821550032928
337,auburn v connecticut,0.6115697020467767
338,auburn v wright-state,0.6764079118824249
339,auburn v colorado-state,0.7226276950823279
340,auburn v murray-state,0.7975819642898045
341,auburn v yale,0.7933125753223769
342,auburn v indiana,0.6699680519313639
343,auburn v new-mexico-state,0.8252010992874338
344,auburn v texas-tech,0.6336070270055694
345,auburn v southern-california,0.7304947148696044
346,auburn v davidson,0.8135119369767152
347,auburn v chattanooga,0.8240072515361727
348,auburn v colgate,0.7980000650383487
349,auburn v texas-christian,0.7249846895117418
350,auburn v georgia-state,0.8982039007350374
351,auburn v texas-southern,0.8955878229357193
352,auburn v saint-peters,0.8876272491160118
353,auburn v delaware,0.8811332273908692
354,auburn v south-dakota-state,0.856354943433709
355,auburn v vermont,0.8752110455802691
356,auburn v texas,0.6708890020591257
357,auburn v iowa-state,0.791001719285426
358,auburn v cal-state-fullerton,0.9103685390263876
359,auburn v jacksonville-state,0.9153575319233287
360,auburn v montana-state,0.8781632274755121
361,auburn v norfolk-state,0.9679236511789044
362,auburn v longwood,0.9633423728010819
363,baylor v gonzaga,0.4321306272464388
364,baylor v tennessee,0.4417022981217372
365,baylor v ucla,0.47192126711336013
366,baylor v villanova,0.45841625837079164
367,baylor v kansas,0.46948067269515203
368,baylor v kentucky,0.5146139541721703
369,baylor v houston,0.535374964139157
370,baylor v illinois,0.5708163532787525
371,baylor v wisconsin,0.5812756610149425
372,baylor v saint-marys-ca,0.6067059085692788
373,baylor v loyola-il,0.6281566439924391
374,baylor v duke,0.6002941936592437
375,baylor v louisiana-state,0.6427698469124016
376,baylor v michigan-state,0.6018024424987867
377,baylor v san-francisco,0.6666970799912704
378,baylor v memphis,0.6325656269707414
379,baylor v seton-hall,0.6757247329204492
380,baylor v north-carolina,0.6244913938573102
381,baylor v iowa,0.6281315887573388
382,baylor v connecticut,0.6297845257914114
383,baylor v michigan,0.6605337737642409
384,baylor v marquette,0.688788286068142
385,baylor v purdue,0.6623221849582488
386,baylor v virginia-tech,0.6701364161653283
387,baylor v providence,0.7265879376020156
388,baylor v ohio-state,0.7009330844966088
389,baylor v texas-tech,0.6349439403773837
390,baylor v creighton,0.7321752799309111
391,baylor v san-diego-state,0.7091698271448161
392,baylor v notre-dame,0.7626333621289532
393,baylor v indiana,0.7193674772454819
394,baylor v boise-state,0.773340830696287
395,baylor v colorado-state,0.8099980421907331
396,baylor v southern-california,0.7784801554289998
397,baylor v miami-fl,0.8183350842580455
398,baylor v richmond,0.8518046238065479
399,baylor v murray-state,0.8562679519380164
400,baylor v texas-christian,0.7992871886862523
401,baylor v texas,0.7256587709276676
402,baylor v davidson,0.8869846200905853
403,baylor v yale,0.9087581003858447
404,baylor v wright-state,0.8602898154971458
405,baylor v iowa-state,0.8655758134116681
406,baylor v new-mexico-state,0.9368469522286134
407,baylor v chattanooga,0.9286719058485826
408,baylor v colgate,0.9017176367596267
409,baylor v vermont,0.9166453381089917
410,baylor v saint-peters,0.9628964252241645
411,baylor v delaware,0.9718786919915283
412,baylor v south-dakota-state,0.9081658216120192
413,baylor v georgia-state,0.9814703131861648
414,baylor v texas-southern,0.9753592851184243
415,baylor v cal-state-fullerton,0.9818096906356502
416,baylor v montana-state,0.9595094416304121
417,baylor v jacksonville-state,0.9852847404400932
418,baylor v longwood,0.9924828588974199
419,baylor v norfolk-state,0.9960903874260333
420,boise-state v gonzaga,0.1489403293332304
421,boise-state v houston,0.17541953271417954
422,boise-state v kentucky,0.21673874486776334
423,boise-state v ucla,0.23711948566759902
424,boise-state v duke,0.26307044270692553
425,boise-state v tennessee,0.2663921701154202
426,boise-state v villanova,0.2289511163037406
427,boise-state v kansas,0.2971283124987276
428,boise-state v iowa,0.3196435930378744
429,boise-state v loyola-il,0.30933473337750106
430,boise-state v connecticut,0.2664754858046028
431,boise-state v illinois,0.3527837466403817
432,boise-state v texas-tech,0.3059832032941884
433,boise-state v purdue,0.3183919703801028
434,boise-state v wisconsin,0.3685152846069121
435,boise-state v saint-marys-ca,0.3307783836714899
436,boise-state v louisiana-state,0.4416144458406921
437,boise-state v virginia-tech,0.3395543690610301
438,boise-state v san-francisco,0.45783659005931243
439,boise-state v providence,0.42665945741370115
440,boise-state v michigan-state,0.443657531139395
441,boise-state v seton-hall,0.47864447679251754
442,boise-state v indiana,0.42974890753395123
443,boise-state v ohio-state,0.44637206918299666
444,boise-state v memphis,0.4959388429835352
445,boise-state v southern-california,0.4259939503190336
446,boise-state v north-carolina,0.47472095884027987
447,boise-state v san-diego-state,0.48794725492346047
448,boise-state v creighton,0.5338437752478682
449,boise-state v colorado-state,0.4886111822442075
450,boise-state v michigan,0.487291746478888
451,boise-state v marquette,0.5927018397549926
452,boise-state v notre-dame,0.5499023166877706
453,boise-state v texas,0.3806788579232524
454,boise-state v davidson,0.5510140259890974
455,boise-state v murray-state,0.5200646412240617
456,boise-state v miami-fl,0.6349481802175125
457,boise-state v texas-christian,0.5662311766136439
458,boise-state v richmond,0.7116547658308708
459,boise-state v vermont,0.5535892419980355
460,boise-state v iowa-state,0.6837348184427436
461,boise-state v wright-state,0.6325513712416506
462,boise-state v colgate,0.6441470700957288
463,boise-state v yale,0.8179555426841608
464,boise-state v chattanooga,0.7780864462116839
465,boise-state v new-mexico-state,0.8275179505312552
466,boise-state v south-dakota-state,0.716582138878719
467,boise-state v delaware,0.8841860581171219
468,boise-state v saint-peters,0.9016612640427969
469,boise-state v cal-state-fullerton,0.8986094525077554
470,boise-state v georgia-state,0.9609972864738784
471,boise-state v montana-state,0.8111365314586855
472,boise-state v texas-southern,0.9486374522635918
473,boise-state v jacksonville-state,0.8987095460825225
474,boise-state v longwood,0.8819596273916527
475,boise-state v norfolk-state,0.9564370478095061
476,cal-state-fullerton v gonzaga,0.015937922185510166
477,cal-state-fullerton v houston,0.006229383304164716
478,cal-state-fullerton v kentucky,0.01410862236813768
479,cal-state-fullerton v duke,0.01762039154641511
480,cal-state-fullerton v connecticut,0.013287024512055559
481,cal-state-fullerton v texas-tech,0.026946319278210194
482,cal-state-fullerton v iowa,0.04281781489515561
483,cal-state-fullerton v ucla,0.023475978564099362
484,cal-state-fullerton v purdue,0.027037599403643375
485,cal-state-fullerton v villanova,0.02485446722081961
486,cal-state-fullerton v loyola-il,0.03096723342663219
487,cal-state-fullerton v virginia-tech,0.02894112283588537
488,cal-state-fullerton v tennessee,0.04978042113821386
489,cal-state-fullerton v kansas,0.0688189040414123
490,cal-state-fullerton v saint-marys-ca,0.04965059262709139
491,cal-state-fullerton v providence,0.06101537394388766
492,cal-state-fullerton v southern-california,0.060805853283408096
493,cal-state-fullerton v texas,0.04564825714267679
494,cal-state-fullerton v indiana,0.08763764603773064
495,cal-state-fullerton v illinois,0.07107041307202423
496,cal-state-fullerton v wisconsin,0.07808322839388823
497,cal-state-fullerton v colorado-state,0.06952377916388502
498,cal-state-fullerton v davidson,0.07277913865015384
499,cal-state-fullerton v louisiana-state,0.1659894535427743
500,cal-state-fullerton v san-francisco,0.1458054885796135
501,cal-state-fullerton v murray-state,0.09577332859331675
502,cal-state-fullerton v san-diego-state,0.15457319010910087
503,cal-state-fullerton v seton-hall,0.15426612899615227
504,cal-state-fullerton v ohio-state,0.09716019932849175
505,cal-state-fullerton v texas-christian,0.13146751425776088
506,cal-state-fullerton v creighton,0.20468785607827378
