Rank,Team,Opponent_rebounds,Opponent Fg%,Opponent FG Attempts,Opponent FGM,Opponent PPG,Win_Percent,,,,,,,,
84,Wagner,32.9,42.30%,53.4,22.6,65.4,0.769,,,,,,,,
113,Wake Forest,33.5,41.60%,60.9,25.4,70.2,0.719,,,,,,,,
176,Wash State,34.8,41.80%,55.4,23.2,65.4,0.576,,,,,,,,
343,Washington,38.8,44.20%,59.5,26.3,72.3,0.531,,,,,,,,
117,Weber State,33.7,44.90%,57.8,25.9,71.7,0.613,,,,,,,,
65,WI-Grn Bay,32.5,47.00%,53.4,25.1,69.7,0.138,,,,,,,,
291,WI-Milwkee,36.9,40.50%,60.8,24.6,71.4,0.29,,,,,,,,
182,Wichita St,34.9,41.40%,57.2,23.7,66.4,0.536,,,,,,,,
56,Winthrop,32.2,43.80%,56.9,24.9,71.6,0.69,,,,,,,,
170,Wisconsin,34.7,43.90%,56.6,24.9,66.5,0.774,,,,,,,,
241,Wm & Mary,35.9,46.70%,59.5,27.8,75.2,0.129,,,,,,,,
1,Wofford,28.3,45.30%,51.8,23.5,66.7,0.567,,,,,,,,
95,Wright State,33.1,45.50%,59.1,26.9,71.6,0.606,,,,,,,,
82,Wyoming,32.8,41.30%,58.5,24.2,65.7,0.75,,,,,,,,
157,Xavier,34.5,42.40%,59.8,25.4,69.2,0.581,,,,,,,,
229,Yale,35.7,42.60%,58.7,25,69.8,0.621,,,,,,,,
69,Youngs St,32.6,44.80%,57.1,25.6,70.6,0.533,,,,,,,,
